date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY
2001-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-31,,,,,,,,,,,,-0.08000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07200000000000001,,,-0.10400000000000004,,,,,,,,,,,,,,,,,,,,,-0.024000000000000018,,-0.016000000000000014,-0.08800000000000002,,,,,,-0.11200000000000004,,,,,,,,,,,,,,,,,,,,-0.12799999999999995
2002-02-28,,,,,,,,,,,,-0.05600000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10400000000000004,,,,-0.064,,,,,,,,-0.016000000000000014,,,,,,,,,,,,,,0.0,-0.09600000000000004,,,,,,-0.08000000000000003,,,,,,-0.05600000000000005,,,,,,,,,,,,,,
2002-03-29,,,,,,,,,,,,-0.05600000000000005,,,,,,,,,,,,,,,,,,,,-0.03200000000000003,,,,,,,,,,-0.11200000000000004,,,,-0.08000000000000003,,,,,,,-0.03200000000000003,,,,,,,,,,,,,,,,-0.09600000000000004,,,,,,-0.09600000000000004,,,,,,-0.08800000000000002,,,,,,,,,,,,,,
2002-04-30,,,,,,,,,,,,-0.048000000000000036,,,,,,,,,,,,,,,,,,,,-0.016000000000000014,,,,,,,,,,-0.08800000000000002,,,,-0.08000000000000003,,,,,,,,-0.016000000000000014,,,,,,-0.024000000000000018,,,,,,,,,,,-0.05600000000000005,,,,-0.12000000000000005,,,,,,,,,,,,,,,,,,,,
2002-05-31,,,,,,,,,,,,-0.016000000000000014,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-0.05600000000000005,,,,,,,-0.016000000000000014,,,,,,,-0.040000000000000036,,,,,,,,,,,-0.016000000000000014,,,,-0.14399999999999996,,,,,,,,,,,,,,,,,-0.040000000000000036,,,
2002-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-0.03200000000000003,,,,,,,,-0.03200000000000003,,,,,,,-0.12799999999999995,,,,,,,,,,,,,,-0.14399999999999996,,,,,,-0.08800000000000002,,,-0.12000000000000005,,,,,,,,,,,-0.048000000000000036
2002-07-31,,,,,,,,,,,0.064,,,,,,,,,,,,,,,,,,,,,0.048000000000000036,,,,,,,,,,,,,,-0.008000000000000007,,,,,,0.048000000000000036,,,,,,,,,-0.12799999999999995,,,,,,,,,,,,,,-0.08800000000000002,0.040000000000000036,,,,,-0.07200000000000001,,,,,,,,,,,,,,
2002-08-30,,,,,,,,,,,0.040000000000000036,,,,,,,,,,,,,,,,,,-0.09600000000000004,,,0.05600000000000005,,,,,,,,,,,,,,-0.008000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.064,,,,,,-0.05600000000000005,,,,,,,,,,,-0.07200000000000001,,,0.016000000000000014
2002-09-30,,,,,,,,,,,0.040000000000000036,0.008000000000000007,,,,,,,,,,,,,,,,,-0.14399999999999996,,,,,,,,,,,,,,,,,0.024000000000000018,,,,,,,,-0.05600000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.064,,,-0.16799999999999998,,,,,,,,-0.11200000000000004,,,
