FundTicker,SecurityNum,HoldingsTicker,Shares,MarketValue,Weight,Name,Sector,Date
QQQ,023135106,AMZN ,"3,947,738","6,322,460,316.52",9.762,Amazon.com Inc,Consumer Discretionary,05/14/2018
QQQ,20030N101,CMCSA ,"37,798,783","1,214,852,885.62",1.876,Comcast Corp,Consumer Discretionary,05/14/2018
QQQ,64110L106,NFLX ,"3,538,826","1,162,610,505.78",1.795,Netflix Inc,Consumer Discretionary,05/14/2018
QQQ,09857L108,BKNG ,"393,662","815,675,537.24",1.259,Booking Holdings Inc,Consumer Discretionary,05/14/2018
QQQ,855244109,SBUX ,"11,462,549","654,855,424.37",1.011,Starbucks Corp,Consumer Discretionary,05/14/2018
QQQ,16119P108,CHTR ,"1,944,961","530,663,159.24",0.819,Charter Communications Inc,Consumer Discretionary,05/14/2018
QQQ,571903202,MAR ,"2,914,959","406,199,536.65",0.627,Marriott International Inc/MD,Consumer Discretionary,05/14/2018
QQQ,88160R101,TSLA ,"1,377,465","402,178,456.05",0.621,Tesla Inc,Consumer Discretionary,05/14/2018
QQQ,90130A101,FOXA ,"8,595,345","324,560,227.2",0.501,Twenty-First Century Fox Inc,Consumer Discretionary,05/14/2018
QQQ,47215P106,JD ,"7,521,132","279,560,476.44",0.432,JD.com Inc ADR,Consumer Discretionary,05/14/2018
QQQ,778296103,ROST ,"3,116,264","257,590,382.24",0.398,Ross Stores Inc,Consumer Discretionary,05/14/2018
QQQ,82968B103,SIRI ,"36,630,988","250,922,267.8",0.387,Sirius XM Holdings Inc,Consumer Discretionary,05/14/2018
QQQ,90130A200,FOX ,"6,511,850","242,826,886.5",0.375,Twenty-First Century Fox Inc,Consumer Discretionary,05/14/2018
QQQ,67103H107,ORLY ,"682,465","186,210,575.25",0.288,O'Reilly Automotive Inc,Consumer Discretionary,05/14/2018
QQQ,256746108,DLTR ,"1,933,626","183,423,762.36",0.283,Dollar Tree Inc,Consumer Discretionary,05/14/2018
QQQ,22943F100,CTRP ,"3,769,096","162,749,565.28",0.251,Ctrip.com International Ltd ADR,Consumer Discretionary,05/14/2018
