date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY
2001-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTU,,,,,,,MAR,,,,,MU,,,,,,,,,,,,,,SNPS,,,,,,,,,,,,,,,,,
2002-05-31,,,,ADI,,,,,,AMGN,,,,,BIIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-30,,,,,,,,,AMAT,AMGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TXN,,,,,,,,,,
2002-11-29,,,,ADI,,,,,,,,,,,BIIB,,,,,,CERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNPS,,,,,,,,,,,,,,,,,
2003-02-28,,,,,,,,,,,,,,,,,,,,,,,,,COST,,,,,,,DLTR,,,,,,,,,,,,,,,,,,,,,ISRG,,,,,,,,,,,,,,,,,PAYX,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-30,,,,,,,,ALXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLAC,,,,,,,,,MXIM,,,,,,,,,,,,,,,,,,,,,,,,,WBA,,,,,
2003-08-29,,,,,,,,,,,,,,,,,,,,,,,,,COST,,,,,,,,,,,,,,,,,,,,,,HSIC,,,,,,,,,,,,,,,,,,MXIM,,,,,,,,,,,,,,,,,,,,,,VOD,,,,,,,,
2003-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ILMN,,,,,,,,,,,MCHP,,,,,MXIM,,,,,,,,,,,,,,,,,,,,,,VOD,,,,,,,,
2004-02-27,,,ADBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOX,,,,,,,,,,,,,,,,,,,,,,,,,MXIM,,,,,,,,,,,,,,,,,,,,,,VOD,,,,,,,,
2004-05-31,,,ADBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GILD,,,,,,,,,,,,,,,,,,,,,,,MXIM,,,,,,,,,,,,,,,SWKS,,,,,,,,,,,,,,,
2004-08-31,,,,,,,,,,,,,,,,,,CA,CDNS,,,,,,,,CSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-30,,,,,,,,,,,,,,,,,,,,,,,,CMCSA,,,,CTAS,,,DISH,,,,,,,,,,,,,,,,HSIC,,,,,,,,,,,,,,,,,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FISV,FOX,,,,,,,HSIC,,,,,,,,,,,,,,,,,,,,,,,PAYX,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,,BMRN,,,,,,,,,,,,,,DISH,,,,,,,,,,FOXA,,,,,,,,,,,,,,,,,,,MCHP,,,,,,,,,,,,,,,,,,,,,,,,,TXN,,,,,,,,,,
2005-08-31,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTU,,,,,,,,,,,,,,,,,,,,,,,,,,SNPS,,,,,,,,,VOD,,,,,,,,
2005-11-30,,,,,,,,,AMAT,,AMZN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JBHT,,,,,,,,,MSFT,,,,,,,,,,,,,,,,,,,,,,,,VOD,,,,,,,,
2006-02-28,,,,,ADP,,,,,,,,,,,,,,,,,,,,,CSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLAC,,,,,,,,,,,,,,,,,,,ROST,,,,,,,,,,,,,,,,,,,,
2006-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,CSCO,,,,,,,,,,,,,,,FOXA,,,,,,,,,,,,,,,KLAC,,,,,,,,,,,,,,,PCAR,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-31,,,,,,,ALGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FISV,,,,,,HAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNPS,,,,,,,TXN,,,,,,,,,,
2006-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST,,,,,,,,,,,,,,,,,,,,,,,MCHP,,,,,,MYL,NFLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-28,,,,,ADP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GILD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYMC,,,,TXN,,,,,,,,,,
2007-05-31,,,,,,ADSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSIC,,,,,,,,,,,,,,,,,,,,,,ORLY,,,,,,,,,,,,SYMC,,,,,,,,,,,,,,
2007-08-31,,,,,ADP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAR,,,,,,,,,,ORLY,,,,,,,,,,,,,,,,,,,,,,,,,,XRAY
2007-11-30,,,,,,,,,,,,,,,,,,,CDNS,,,,,,,,,,,,,,,,,,,,FISV,FOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAYX,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROST,,SIRI,,,,,,,,,,,,,,,,,XLNX,
2008-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGN,,,SIRI,,,,SYMC,,,,,,,,VRTX,,,,,,
2008-08-29,,,,,,,,,,,,,,,,,,,,,CERN,,,CMCSA,,,,,,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBA,,,,,
2008-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDXX,,,,,,,,,,,,,,MNST,,,,MYL,,,,,PCAR,,,,,,,,,,,,,,,,,,,,,WDC,,,
2009-02-27,,,,,,,,,,,,,,BIDU,,,,,,,,,,,,,,,,,,,,,,,,,FISV,,,,,,,,,IDXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWKS,,,,,,,,,,,,,,,
2009-05-29,,AAPL,,,,,,,,,,ATVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCHP,,,,,,,,,,,,,,REGN,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,,,,,,ALGN,,,,,,,,,,,,,,,,,,,,,CTAS,,,,,,,,,,,,,,,,,,,,,ILMN,,,,,,,,,,,,,,,,,,,,,PAYX,PCAR,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-30,,,,,,,,,AMAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FISV,,,,,,,,,,,,,,,,,,,,,MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XLNX,
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FISV,,,,,,HAS,,,,,,,,,,,,,,,MCHP,,,,,,,,,,PAYX,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-31,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSIC,,,,,INTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XLNX,
2010-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,CSCO,,,,,,,,,,,,,FISV,,,,,,,,,,,,INTC,,,,,,,,,,,,MSFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSIC,,,,INTC,,,,,,,,,,,,,,,MYL,,,,,,,,,,,,,,,,,,,,,,VRSK,,,,,,,
2011-02-28,,,,,ADP,,,,,,,,,,BIIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBA,,,,,
2011-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FISV,,,,,,,,HSIC,IDXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNPS,,,,,,,,,,,,,,,,,
2011-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTAS,,,,,,,,,,,,,,,,,,,HSIC,,,,INTC,,,,,,,,,,,,,,,,,,ORLY,,,,,,,,,,,,,,,,TXN,,,,,,,,,,
2011-11-30,,,,,,,,,,,,,,,,,,,,CELG,,,,,,,,,,,,,,,,,,,FISV,,,,,GOOGL,,,,,,,,,,,,,,,,,,,,,,,,,,PAYX,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-29,AAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MXIM,,,,,,,,QCOM,,,,,,,,,,,,,,,,,,,,WYNN,,
2012-05-31,,,,,ADP,,,,,,,,,BIDU,,,,,,,,,,,,,,,,CTXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XRAY
2012-08-31,,,,,,,,,,,,,,,,,,,,,CERN,,,,,,,,,,,,,,,,,,,,,,,,,HOLX,HSIC,IDXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-30,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,FAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCAR,,QCOM,,,,,,,,,,,,,,,,,,,,,,
2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,CSX,,,,,,,,,,,,,,,,,,,,,,,INCY,,INTU,,,,,,,,,,,,,,,,,ORLY,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,CSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT,,,,,,,,,,,,,,,SNPS,,,,,,,,,,,,,,,,XLNX,XRAY
2013-08-30,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,FAST,,,,,,,,,HOLX,,,,INCY,,,,,,,,,,MCHP,MDLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XRAY
2013-11-29,,,,,,,,,,,,,AVGO,,,,,,,,,,,,,,,CTAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORLY,,PCAR,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,CSX,,,,,,,,,,,,,,,,,,,,,IDXX,,,INTC,,,,,,,,,,MDLZ,,,,,,,,,,PCAR,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-30,,,,ADI,,,,,,,,,,,,,,CA,,,,,,,,,CSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MXIM,,,,,PAYX,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-29,,,,,ADP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAS,,HSIC,,,,,,,,,,,,,,,,,,,,,,,,,,QCOM,,,,,,,,,,,,,,,,,,,,,,
2014-11-28,,,,,,,,,,,,,,,,,,,,,CERN,,,,,,,,,CTXS,,,,,,,,,,,,,,,HAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,QCOM,,,,,SNPS,,,,,,,,,,,,,,,,,
2015-02-27,,,,ADI,,,,,,,,,,,,,,,,,,,,CMCSA,,,,,,,,,,,ESRX,,,,,,,,,,,,,,,,,,,,,,,,,,MDLZ,,,,,,,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,EBAY,,,,,,,,,,,,,,,,,,,,,,KLAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTWO,,,,,,,,,,,
2015-08-31,,,,,,,,,,,,ATVI,,,,,,,,,,,,,,,,,,CTXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRCX,,,,,,,,,,,,,,,,,,,SIRI,,,,,,,,,,,,,,,,,,
2015-11-30,,,,,,,,,,,,,,,,,,,,,CERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISRG,,,KLAC,,,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,CSCO,,,,,,,,,ESRX,,,,,,,,,,,,,,,,,,,JBHT,,,,,,MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOX,FOXA,,,,,,,,,,,,,,,,,,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBA,WDAY,,,,
2016-08-31,,,,,,,,,,,,,,,,,,,,,CERN,,,,,,,,,,,,,,,EXPE,,,,,,,,,,,,,,,,,,,,,,,MAR,,MDLZ,,,,,,,,,,PCAR,,,,,,,,,,,,,,,,,,,,,,,,
