date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY
2001-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-28,,,,,,,,,,,,-0.05600000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10400000000000004,,,,-0.064,,,,,,,,-0.016000000000000014,,,,,,,,,,,,,,0.0,-0.09600000000000004,,,,,,-0.08000000000000003,,,,,,-0.05600000000000005,,,,,,,,,,,,,,
2002-05-31,,,,,,,,,,,,-0.016000000000000014,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-0.05600000000000005,,,,,,,-0.016000000000000014,,,,,,,-0.040000000000000036,,,,,,,,,,,-0.016000000000000014,,,,-0.14399999999999996,,,,,,,,,,,,,,,,,-0.040000000000000036,,,
2002-08-30,,,,,,,,,,,0.040000000000000036,,,,,,,,,,,,,,,,,,-0.09600000000000004,,,0.05600000000000005,,,,,,,,,,,,,,-0.008000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.064,,,,,,-0.05600000000000005,,,,,,,,,,,-0.07200000000000001,,,0.016000000000000014
2002-11-29,,,,,,,,,,,0.008000000000000007,,,,,,,,,,,,,,,,,,-0.16799999999999998,,,,,,0.024000000000000018,,,,,,,,,,,,,,,,,,,-0.016000000000000014,,,,,,,,,,,,,,,,,,,,,-0.08000000000000003,0.016000000000000014,,,,,,,,-0.12000000000000005,,,,,,,,-0.10400000000000004,,,
2003-02-28,,,,,,,,,,,-0.024000000000000018,,,,,,,,,,,,,,,,,,-0.14399999999999996,,,,,-0.008000000000000007,,,,,,,,,,,,,,-0.10400000000000004,,,,,,-0.008000000000000007,,,,,,,,,,,,-0.07200000000000001,,,,,,,,,,,,,,,-0.008000000000000007,,,,,,,,,,,-0.064,,,
2003-05-30,,,,,,,-0.10400000000000004,,,,-0.11200000000000004,,,,,,-0.048000000000000036,,,-0.08000000000000003,,,,,,,,,,-0.17600000000000002,,,,-0.11200000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024000000000000018,,,,,,,,,,,,,,,,,,,,,,,,,-0.13599999999999995,,,
2003-08-29,,,,,,,-0.10400000000000004,,,,-0.15999999999999998,,,,,,-0.064,-0.024000000000000018,,,,,,,,,,,,-0.16799999999999998,,,,,,,,,,,,-0.09600000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08000000000000003,,,,,,,,,,,,,,,,,,,,,-0.08000000000000003,,,
2003-11-28,,,,,,,-0.12000000000000005,,,,-0.12799999999999995,,,,,,,,,,,,,,,,,,-0.07200000000000001,-0.13599999999999995,-0.040000000000000036,,,,,,,,,,,,,,,,,,,,,,,-0.15999999999999998,,,,,,,,,,,,,-0.08800000000000002,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2004-02-27,,,,,,,-0.064,,,,,,,,,,,,,,,,,,,,,,-0.048000000000000036,,,,,,,,,,,,,,,,,-0.07200000000000001,,,-0.10400000000000004,-0.05600000000000005,,,-0.008000000000000007,,,,,,,,,,,,,,-0.03200000000000003,,,,,,,,,,-0.024000000000000018,,,,,,,,,,,,,,,,,,
2004-05-31,,,,,,-0.15199999999999994,,,,,,,,,,,,,,,-0.09600000000000004,,,,,,,,-0.05600000000000005,,,,,,,,,,,,,,,,,,,,-0.05600000000000005,,,,,,,,,,,,,-0.15199999999999994,,,,,0.008000000000000007,,,,,,,,,,-0.016000000000000014,,,,,,,,,,,,,,,,-0.13599999999999995,,
2004-08-31,,,,,,-0.13599999999999995,,,,,,-0.15199999999999994,,,-0.048000000000000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08000000000000003,,,,,,,,,,,0.016000000000000014,,,-0.12000000000000005,,,,,-0.09600000000000004,,,,,,,,,,,,-0.09600000000000004,,
