date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY
2001-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09525258673157144,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13435700575815734,,,,,,0.1807719287622278,,,,,,0.24257500376903618,,,,,,,,,,,,,,
2002-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06299628150249403,,,,,,,,,,,,,,0.07838345297859228,,,,,,-0.20286338267410964,,,0.02437810945273622,,,,,,,,,,,
2002-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06920930232558553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023744292237447118,,,0.40845070422535246,,,,,,,,0.44615384615381704,,,
2002-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2568296502522931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19068528138528573,,,,,,,,,-0.1900000000000004,,,,,,,,0.35957446808512006,,,
2003-03-31,,,,,,,,,,,0.377977766013764,,,,,,,,,,,,,,,,,,-0.06811574138171694,,,,,,,,,,,,,,,,,,,0.05015015015015023,,,,,,,,,,,,,,,,,,0.23710209974928387,,,,,,,,,,,,,,,,,,,,,,,,,,0.41784037558685383,,,
2003-06-30,,,,,,,1.0826446280991737,,,,0.3953131002689205,,,,,,,,,,,,,,,,,,,0.5471124620060794,,,,0.2190833431016288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13686534216335167,,,
2003-09-30,,,,,,,-0.0071428571428571175,,,,0.3334251101321586,,,,,,,,,,,,,,,,,,,0.08693516699410564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10099441634945228,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,,,,,,,0.31974420463629105,,,,0.08651662192855669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45299145299144494,,,,0.44178082191780854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06382978723404253,,,,,,,,,,,,,0.6615201900237528,,,,,,,,,,,,,,,0.07594936708859912,,,,,,,,,,,,,,,,0.24955373081041343,,
2004-06-30,,,,,,0.3591370558375637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8105789849892777,,,,,,,,,,,,,,,,,,,-0.05442764578833614,,,,,,,,,,,,0.10371428571428054,,
