date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY
2001-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-31,,0.012950971322865046,-0.288219363476516,-0.2908945686901123,-0.010615750446037131,0.01628991112414524,-0.6666666666666667,-0.532785318294781,-0.20294176108127437,-0.1972692362395172,-0.37492778740612365,1.1519580805295093,,,0.1720795783030098,,0.1200000000000001,-0.039994712534133,-0.2566971854866055,0.15027027027027007,0.03353342993169095,-0.4114783121864857,,-0.14913731978251188,-0.040432432432432885,-0.5162927350427302,0.16824529876982797,0.028057399871495692,-0.16791878172590746,-0.3684503901895205,-0.11045454545454647,0.015440210249671127,0.3086662300807679,0.3547995139732685,0.007650037711453672,,0.17636138613861152,,0.22524609148812957,-0.1825926530480555,-0.23146855358275364,0.9417934702319533,,,0.37462772751260065,0.3038596491228076,0.2742601514108747,0.28481297881928835,-0.44000000000000017,-0.30272596843615507,-0.14778139251940126,0.08303797468350793,0.19689737470166957,0.21720881427071914,,0.0802092414995792,,-0.12178517397880906,-0.1123285282724864,0.28875582168993863,,0.03371892690130496,0.08499836226662616,-0.3227004588158183,-0.1400262037340444,0.6146066018850902,,1.5915165601394015,0.6208888888888893,-0.22130535642554128,0.3372213915985143,,-0.39923863906732493,-0.140152671755725,0.41147612048553195,-0.2370845014016878,-0.6323110970597519,0.13596153846153847,,-0.2733333333333431,0.2909692487349127,,,0.3264971287940934,-0.35946956955281983,,-0.25924056385639016,,-0.6346753825583122,-0.17477475676071375,,0.18750000000000133,,-0.2768518518518619,0.4618287533093868
2002-02-28,,0.354520547945256,0.16145102146069146,0.1742627345844241,-0.07970267801556641,0.08309621285527724,-0.3493333333333336,-0.24098025867937356,0.03313609467456313,-0.22980849292255234,0.3925417075564277,0.718395815170009,,,0.05462930117062803,,0.4329411764705886,0.107397274721722,-0.0650887573964497,0.04936854190585538,-0.05450283258448951,-0.43084359893965374,,-0.15883458646616033,0.10179640718565408,-0.1642043056141681,0.21229811263835274,0.3886729594669682,-0.1259523809523766,-0.3373076923076923,0.044175963938057006,0.18698309960445858,0.0613999999999999,0.5397860683537703,0.02107258334262463,,0.11516666666667574,,0.2860606060606059,-0.2324640026092104,-0.25992087061269065,0.7501337613696832,,,0.354437417590302,1.3200000000000012,0.6067927170868346,0.07894736842105265,-0.43666666666666676,-0.12254610350981554,0.22938431319895347,-0.04570872842206075,0.27586206896553267,0.7577482605945733,,0.6022377622377375,,0.08186046511627931,-0.036880172822525426,0.5783082077051296,,0.16755543081672775,0.07983050847455853,-0.013734658094681662,0.2029048341643116,0.44746307846020317,,1.9420452002685704,0.7470960929250259,-0.07056979007441688,0.45773740617977476,,-0.1963145411421131,-0.2096876991714467,0.738053968413906,-0.0018895653999563278,-0.7348936170212741,-0.044743141226293415,,0.30645161290323664,0.7265144863915642,,,0.6139130434782607,0.05900998887394371,,-0.19847727693500428,,-0.6032160804020099,-0.1790524562657808,,0.5169902912621227,,0.11496913580250179,0.3225088721784577
