date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY
2001-01-02,,14.88,46.73,47.0,62.06,25.69,,61.56,39.5,62.88,13.88,14.0,,,177.75,,9.5,18.69,24.88,32.38,43.13,110.5,,39.94,41.19,33.31,25.69,50.38,33.13,20.94,21.81,23.0,38.94,30.19,93.63,,52.06,,44.38,32.25,29.87,74.13,,,10.31,5.0,32.63,22.25,15.25,22.56,31.06,36.25,8.16,15.5,,34.13,,14.38,41.13,21.81,,3.813,43.38,35.38,46.38,24.69,,29.94,24.38,45.69,50.0,,70.88,35.56,16.81,42.06,26.5,44.19,,32.19,33.56,,,10.88,46.31,,34.5,,63.13,40.81,,2.313,,43.25,39.0
2001-01-03,,16.37,57.94,54.5,60.75,27.31,,68.13,49.63,67.06,17.56,15.06,,,186.31,,9.563,21.31,24.81,30.0,54.06,143.6,,41.63,42.69,41.31,26.75,50.06,39.25,22.94,27.19,25.06,40.36,39.36,92.44,,52.19,,46.88,35.81,33.25,77.19,,,10.88,5.25,32.13,24.63,13.81,23.06,34.23,39.06,8.75,17.31,,42.69,,17.25,44.69,27.0,,4.063,47.94,42.0,55.94,23.31,,39.13,25.88,48.63,54.13,,84.06,34.06,17.52,43.25,31.94,50.25,,34.38,39.31,,,11.25,50.25,,36.69,,62.63,39.25,,2.813,,51.06,37.0
2001-01-04,,17.06,53.75,52.13,56.69,29.31,,59.63,44.38,62.69,15.5,16.44,,,166.0,,8.938,25.88,26.75,25.31,53.0,136.6,,41.0,43.63,41.88,27.81,49.75,39.69,27.75,26.0,22.0,40.69,35.38,85.38,,48.56,,46.5,36.5,33.38,65.75,,,11.56,5.219,30.88,22.25,14.13,22.77,33.8,40.44,7.94,17.81,,39.81,,18.19,45.75,26.94,,4.063,48.44,39.38,53.44,22.06,,43.63,25.75,45.31,53.06,,78.94,32.44,19.19,41.13,32.56,47.56,,31.69,36.81,,,11.44,52.06,,36.13,,59.88,37.31,,3.25,,52.31,34.63
2001-01-05,,16.37,51.5,47.63,54.88,29.0,,50.75,42.69,58.31,14.56,16.31,,,155.06,,8.063,23.44,25.25,24.69,51.0,116.4,,40.69,41.31,36.63,28.0,47.56,34.75,26.69,24.0,23.88,35.25,30.56,83.25,,48.94,,46.0,35.25,31.63,58.5,,,11.44,5.563,30.13,21.19,11.94,21.0,32.06,36.25,7.75,17.69,,37.19,,18.31,44.88,24.69,,4.063,49.13,36.5,50.13,21.19,,37.09,25.81,44.69,53.5,,73.06,31.13,19.13,41.75,30.13,48.0,,27.87,35.56,,,11.19,47.31,,35.88,,54.44,38.0,,3.25,,49.94,35.0
2001-01-08,,16.56,49.56,46.0,58.88,28.81,,43.69,45.75,58.69,14.94,16.25,,,149.19,,8.375,24.56,26.5,23.81,50.88,110.8,,40.69,41.94,36.55,29.13,48.0,33.38,26.38,23.38,23.56,36.81,30.63,84.06,,48.94,,48.84,35.44,31.0,54.38,,,11.44,5.125,30.13,21.25,8.875,21.81,31.94,32.94,7.5,18.0,,40.38,,19.27,46.69,24.31,,4.0,48.94,36.94,52.06,21.88,,40.63,25.06,46.44,53.13,,77.88,30.25,19.44,42.44,29.56,48.13,,28.5,36.19,,,10.56,47.0,,34.25,,47.0,38.31,,3.25,,48.25,36.06
2001-01-09,,17.19,49.81,45.88,60.69,33.19,,47.0,43.5,62.0,16.38,16.25,,,143.5,,8.25,26.5,28.94,20.63,50.94,114.5,,42.19,41.81,37.13,29.25,49.75,35.81,27.94,24.31,22.19,38.06,33.38,86.58,,47.31,,49.94,35.31,31.25,54.06,,,12.25,5.125,31.63,21.69,8.625,24.0,32.25,34.06,7.81,17.56,,41.5,,18.94,46.56,23.75,,4.0,51.81,36.75,52.06,22.31,,41.44,24.94,48.56,51.75,,73.25,31.0,18.63,41.75,31.44,49.25,,27.25,37.88,,,10.19,44.75,,33.0,,48.0,37.75,,3.563,,48.06,35.0
2001-01-10,,16.56,45.75,49.19,60.88,35.44,,49.73,44.75,60.75,16.5,17.5,,,158.12,,8.5,27.69,29.5,24.94,54.0,122.7,,41.63,40.69,36.25,28.56,48.5,35.63,27.75,25.94,22.56,39.13,39.31,89.92,,48.56,,50.31,35.13,31.06,56.06,,,12.31,5.438,32.88,22.75,10.5,23.5,33.0,35.25,6.75,18.25,,39.5,,19.94,44.81,24.5,,4.125,52.88,38.0,54.88,21.38,,44.31,25.25,47.38,50.63,,72.44,32.25,19.58,44.0,32.5,50.06,,28.56,39.5,,,10.5,46.44,,32.75,,53.38,38.81,,3.813,,52.0,34.56
2001-01-11,,18.0,48.06,51.94,60.56,34.75,,50.63,46.38,60.63,17.0,17.5,,,165.0,,8.25,28.63,29.63,25.31,54.75,124.4,,42.56,41.31,39.13,28.5,46.63,38.5,29.06,28.88,25.06,35.44,40.94,90.67,,49.83,,49.0,38.19,34.0,56.94,,,12.25,5.75,31.19,22.64,13.38,23.31,33.38,35.0,8.12,18.06,,42.81,,21.94,44.56,26.94,,4.0,55.0,41.0,58.56,21.81,,48.0,25.13,47.94,51.25,,70.56,33.63,20.0,44.31,34.55,51.44,,35.5,41.31,,,10.5,49.63,,34.63,,55.13,37.25,,3.938,,52.13,33.81
2001-01-12,,17.19,50.44,52.5,61.81,35.52,,54.94,46.38,59.75,17.69,17.94,,,168.62,,9.5,27.75,29.25,26.94,56.25,124.0,,43.42,43.06,38.06,27.5,44.44,39.88,27.5,29.38,27.25,36.25,40.06,91.0,,49.19,,47.75,38.88,34.81,59.64,,,12.62,5.625,30.25,23.0,13.0,24.63,32.13,34.06,7.38,19.58,,39.94,,20.69,45.13,26.25,,4.25,53.5,41.44,59.56,21.88,,47.0,24.88,48.5,51.13,,71.81,34.75,19.94,44.75,31.88,51.56,,35.94,42.56,,,11.88,47.88,,34.38,,58.5,37.94,,3.813,,50.0,33.88
2001-01-16,,17.12,50.88,52.56,62.0,36.25,,61.5,44.44,61.56,18.06,17.87,,,172.0,,9.438,27.5,29.44,26.38,52.0,120.6,,44.63,43.56,38.5,28.62,45.0,44.44,27.56,32.06,27.5,37.44,44.25,92.31,,48.44,,46.19,38.94,34.63,65.19,,,12.56,6.0,28.19,23.81,13.5,24.38,31.38,34.06,8.0,19.69,,37.19,,20.19,45.69,25.5,,4.188,52.56,38.94,57.56,23.5,,43.31,25.63,47.38,53.0,,70.94,39.0,20.59,44.81,31.56,50.25,,34.0,42.44,,,12.5,47.69,,33.31,,57.88,38.63,,3.813,,48.44,34.09
2001-01-17,,16.81,53.5,57.63,60.31,38.5,,54.75,48.19,60.5,18.38,18.44,,,163.31,,9.5,28.94,31.0,24.88,53.06,126.6,,43.5,41.44,39.0,28.81,46.06,46.0,29.81,32.94,28.06,37.38,43.25,89.5,,48.56,,48.0,39.63,34.63,59.19,,,12.62,6.5,29.19,23.06,15.06,24.75,30.5,35.0,7.88,20.19,,40.38,,22.56,45.25,27.88,,4.25,52.94,39.25,63.0,22.88,,44.88,25.44,47.75,51.94,,73.0,36.75,21.56,44.81,34.88,50.81,,30.56,44.0,,,12.0,50.56,,33.5,,54.88,38.81,,3.813,,48.31,34.5
2001-01-18,,18.69,56.0,58.5,60.06,38.14,,56.94,50.06,62.06,19.5,18.44,,,56.88,,9.563,34.63,31.88,26.81,50.5,138.2,,43.94,41.44,41.88,28.25,46.19,47.38,32.63,32.69,27.56,39.19,46.88,88.13,,50.63,,48.94,40.5,35.69,59.25,,,12.81,7.063,28.17,23.69,14.63,26.38,32.19,36.44,8.0,20.25,,46.06,,23.06,45.38,29.94,,4.313,55.5,44.44,69.06,22.56,,53.48,25.5,48.63,52.81,,73.06,35.06,20.88,45.44,34.13,49.94,,32.81,50.0,,,11.81,51.25,,34.5,,57.02,38.31,,3.875,,54.13,35.13
2001-01-19,,19.5,58.25,57.31,60.0,39.0,,56.0,49.94,60.0,19.94,18.31,,,56.89,,9.97,33.69,32.0,26.25,48.25,149.8,,44.31,40.44,40.38,27.69,46.81,48.89,34.88,32.56,25.88,41.5,50.13,82.44,,50.5,,46.63,40.13,35.19,59.56,,,12.44,6.813,28.13,24.88,15.0,25.81,33.56,36.0,8.06,20.31,,44.94,,22.75,44.94,27.63,,4.125,61.0,46.44,68.75,22.19,,52.06,23.25,46.5,50.38,,70.38,33.88,19.5,46.31,35.0,53.19,,33.19,49.38,,,12.5,50.31,,34.63,,57.38,36.88,,3.688,,53.94,35.5
2001-01-22,,19.25,59.94,56.0,58.69,39.63,,57.13,48.94,67.63,18.5,18.31,,,60.12,,10.81,32.25,32.31,27.31,48.0,148.9,,43.63,42.25,41.44,28.25,45.81,47.56,35.31,32.75,27.06,40.5,49.44,83.63,,49.31,,46.63,39.19,34.25,61.81,,,12.38,7.0,30.5,24.06,14.44,27.38,33.38,35.13,7.25,19.13,,42.63,,21.75,45.31,26.63,,4.125,60.13,44.5,68.88,21.69,,50.0,23.94,45.75,52.38,,75.44,34.56,20.52,45.25,33.88,55.06,,31.94,49.38,,,12.25,48.56,,33.63,,60.81,38.25,,4.375,,53.63,36.38
2001-01-23,,20.5,59.44,56.31,59.5,39.0,,71.38,48.25,67.75,18.95,18.5,,,63.12,,10.75,34.13,32.0,31.5,52.0,153.9,,42.5,42.5,42.63,28.06,47.63,49.81,33.75,33.75,26.38,42.75,52.38,90.69,,51.58,,52.19,38.44,33.38,68.86,,,12.62,7.0,30.06,24.5,17.25,29.06,35.38,35.5,7.88,19.81,,44.06,,22.13,47.69,26.06,,4.0,60.56,43.25,68.38,22.13,,54.98,22.81,46.5,53.44,,77.63,36.75,21.0,46.38,34.5,55.13,,33.06,49.38,,,12.25,45.0,,33.81,,69.0,38.19,,4.875,,55.38,35.75
2001-01-24,,20.5,60.13,56.56,60.13,37.38,,71.75,49.63,69.06,21.88,18.5,,,64.06,,10.31,34.63,30.0,32.31,51.31,149.8,,42.13,42.94,42.56,27.94,46.25,50.25,34.0,34.0,26.8,42.25,54.38,94.81,,50.69,,52.0,38.81,34.0,65.44,,,12.25,7.0,31.31,22.44,18.69,29.44,36.25,37.5,8.06,19.0,,44.69,,24.81,46.63,26.63,,4.125,62.94,44.88,66.94,22.19,,54.75,21.19,45.56,51.63,,74.25,37.13,20.88,43.38,33.19,53.73,,32.25,52.69,,,12.06,43.5,,34.06,,70.13,38.56,,5.188,,55.75,35.27
2001-01-25,,19.94,57.06,54.69,59.94,37.56,,73.88,48.75,72.0,19.0,18.5,,,61.77,,10.5,33.5,29.0,28.0,51.81,143.4,,41.31,43.19,39.31,28.0,47.69,50.13,34.06,30.88,28.75,39.56,49.81,95.0,,52.38,,50.56,39.12,34.5,65.63,,,12.0,7.0,30.48,22.75,18.75,29.44,34.5,38.5,8.0,19.5,,43.75,,23.69,46.81,26.31,,4.125,61.81,43.75,62.19,22.25,,49.25,21.31,44.5,50.94,,73.94,36.69,21.13,42.81,32.44,52.06,,30.5,50.63,,,11.69,42.06,,34.25,,68.75,39.56,,4.813,,52.38,35.31
2001-01-26,,19.56,58.06,54.75,59.44,37.31,,74.75,47.88,71.69,19.5,18.55,,,63.31,,10.69,34.19,28.19,28.94,49.88,154.9,,41.5,41.25,38.38,26.69,48.5,47.25,33.88,30.88,29.94,38.25,49.88,96.88,,51.81,,51.75,37.94,33.69,64.38,,,11.5,7.0,31.13,21.19,20.06,30.63,35.88,36.13,7.94,19.52,,43.06,,23.25,46.25,27.75,,4.0,64.0,43.94,63.5,22.69,,50.81,21.44,45.69,51.5,,81.0,33.13,20.47,45.63,31.94,51.75,,30.19,49.69,,,11.06,41.5,,35.5,,71.75,39.31,,4.125,,51.81,36.48
2001-01-29,,21.69,54.0,56.68,60.5,38.14,,69.0,50.19,71.0,20.13,18.19,,,66.81,,11.0,35.35,28.49,29.63,50.0,165.4,,42.75,44.06,37.25,27.25,49.5,48.75,34.13,32.19,30.06,38.69,52.31,95.31,,54.44,,54.31,38.54,34.4,69.0,,,11.86,7.0,30.94,21.75,21.75,29.88,37.06,36.0,8.0,18.13,,43.75,,24.63,46.21,29.19,,4.0,64.5,45.3,60.06,23.34,,51.06,22.0,45.88,51.0,,86.81,31.75,21.75,49.25,33.19,53.44,,30.5,50.0,,,11.0,43.95,,35.62,,74.19,39.36,,4.5,,53.06,36.0
2001-01-30,,21.75,52.75,60.41,60.13,37.25,16.88,60.0,52.44,71.0,18.94,18.11,,,62.62,,11.5,37.5,29.8,30.06,51.44,165.9,,41.88,43.75,38.0,28.58,47.44,50.13,36.63,32.0,29.19,40.0,53.19,93.5,,56.94,,52.81,38.9,34.41,67.38,,,11.95,7.063,30.81,22.38,21.31,28.31,37.0,37.81,7.81,18.94,,45.94,,25.56,46.19,29.31,,4.0,63.38,46.85,58.13,23.42,,52.19,22.0,45.25,51.69,,85.69,30.75,21.75,48.75,32.69,54.88,,30.44,51.69,,,11.5,44.73,,36.25,,68.11,40.01,,4.78,,52.81,36.05
2001-01-31,,21.62,43.69,62.6,59.86,36.88,13.5,52.31,50.31,70.31,17.31,18.13,,,58.81,,12.0,36.01,29.49,27.75,48.31,152.5,,42.31,46.25,37.44,30.5,46.69,49.25,35.88,30.88,30.44,45.81,49.38,92.81,,56.56,,51.81,38.99,34.62,67.69,,,11.88,7.125,29.06,22.19,21.0,27.88,37.0,39.5,8.38,19.06,,45.88,,26.44,46.16,30.06,,4.063,61.06,45.77,61.06,23.35,,51.63,22.5,45.13,50.38,,84.06,32.75,22.88,49.94,31.63,52.0,,30.0,51.38,,,12.19,43.8,,34.97,,67.31,40.94,,5.28,,54.0,34.56
2001-02-01,,21.12,45.44,59.2,59.7,36.63,14.19,50.0,50.56,69.31,16.25,18.5,,,57.06,,12.06,35.85,28.02,27.75,51.5,156.2,,42.25,46.25,38.25,31.36,45.44,49.63,36.25,30.13,31.25,45.56,48.25,91.22,,56.81,,52.25,38.78,34.78,64.56,,,11.83,7.094,31.38,22.81,20.44,27.88,37.81,39.88,8.61,19.31,,45.75,,26.56,45.99,30.56,,3.938,62.38,42.18,62.44,23.35,,51.89,22.75,41.44,51.06,,85.25,32.88,22.75,49.06,31.31,55.38,,31.0,52.44,,,13.0,43.71,,35.1,,63.44,41.95,,5.09,,57.63,35.63
2001-02-02,,20.62,43.56,55.2,57.7,35.19,14.13,37.88,47.75,69.94,14.38,20.0,,,57.23,,11.88,34.1,28.32,26.75,51.31,142.1,,41.19,43.94,35.5,30.5,44.0,47.0,34.81,28.19,30.38,45.63,46.23,95.13,,57.44,,50.81,38.1,34.3,63.19,,,12.0,7.188,30.69,22.5,18.25,23.19,35.69,39.88,8.38,19.19,,42.06,,24.88,45.41,28.38,,3.875,60.81,41.2,59.55,23.26,,46.88,21.38,39.63,51.0,,86.81,32.31,21.69,47.88,30.0,53.95,,30.87,48.19,,,12.75,43.08,,34.17,,59.88,42.18,,4.7,,53.06,35.61
2001-02-05,,20.19,45.38,53.85,58.98,36.06,14.13,39.5,45.81,68.31,14.44,20.62,,,57.5,,10.75,33.75,28.55,25.94,50.88,146.6,,43.06,43.19,34.56,30.6,45.5,46.5,33.75,29.56,29.5,46.44,46.69,96.19,,58.0,,52.25,37.3,34.0,61.63,,,12.25,6.938,31.31,22.19,16.25,22.19,34.69,40.06,8.38,19.0,,40.56,,23.31,44.99,26.63,,3.875,61.94,38.28,58.56,23.15,,46.81,21.0,39.88,51.69,,86.44,32.19,22.0,47.94,30.56,52.25,,30.19,45.13,,,12.31,41.01,,34.37,,61.13,41.09,,4.8,,50.88,36.06
2001-02-06,,21.12,44.0,52.44,59.64,36.94,14.0,39.5,45.88,69.88,15.81,21.0,,,59.0,,11.25,34.98,28.65,27.63,54.69,147.6,,43.19,43.75,35.75,30.83,45.63,47.88,31.56,30.56,29.06,47.81,46.88,96.69,,57.69,,53.75,37.5,33.82,65.88,,,13.5,6.813,32.09,22.06,16.0,22.81,35.44,43.69,8.62,19.13,,39.81,,23.06,43.17,27.13,,3.813,62.56,39.72,57.94,22.85,,47.06,21.69,40.75,51.44,,82.94,34.81,22.38,49.88,30.13,53.38,,29.69,48.0,,,12.31,41.01,,33.49,,66.75,41.08,,4.58,,50.5,35.75
2001-02-07,,20.75,40.31,49.4,59.68,36.0,13.06,39.5,44.75,70.63,15.0,21.19,,,58.12,,11.13,34.5,27.76,26.81,55.63,146.6,,43.63,45.25,31.06,29.95,46.75,46.06,32.69,29.19,30.25,47.88,46.19,99.63,,58.25,,53.94,38.77,34.47,64.94,,,12.91,6.625,32.38,22.69,16.31,22.5,34.94,38.5,8.44,19.13,,38.38,,22.31,44.17,26.75,,3.75,64.69,38.82,57.06,22.52,,44.88,22.0,42.13,52.44,,86.63,33.81,23.88,49.88,29.94,51.31,,28.87,47.44,,,12.69,39.0,,32.55,,62.88,42.85,,4.36,,48.0,36.31
2001-02-08,,20.75,35.94,50.47,59.95,36.63,13.06,37.63,42.38,69.81,14.38,21.75,,,59.5,,11.06,36.53,26.85,26.56,55.5,139.3,,43.94,42.88,30.0,30.68,46.88,45.63,32.63,30.06,28.88,47.13,47.13,94.94,,57.0,,53.25,38.58,34.42,61.06,,,13.08,6.813,32.13,22.81,16.31,21.5,34.63,36.94,9.06,18.63,,36.5,,22.19,45.25,27.5,,3.813,62.25,39.97,58.06,23.0,,44.63,21.06,41.63,52.44,,84.75,33.38,22.38,48.63,29.44,50.69,,27.25,48.88,,,12.81,38.75,,32.36,,65.44,41.85,,4.29,,47.38,36.38
2001-02-09,,19.12,35.38,48.49,59.58,35.75,12.0,35.38,42.63,72.56,13.38,20.87,,,59.31,,10.25,34.9,26.61,26.44,54.5,129.4,,43.38,41.31,28.19,30.81,47.88,44.94,32.81,29.0,27.0,47.5,44.56,98.25,,57.88,,53.5,38.44,34.4,63.03,,,12.87,6.625,31.19,22.81,16.31,20.5,33.5,34.06,7.38,19.06,,35.88,,21.94,44.31,26.81,,3.813,59.13,38.76,59.06,23.1,,44.31,19.94,42.25,50.56,,79.13,32.13,20.69,48.31,29.56,49.5,,26.19,49.19,,,12.81,37.33,,31.01,,63.55,41.42,,4.2,,47.44,36.56
2001-02-12,,19.69,37.88,48.1,59.01,35.5,11.06,38.75,44.0,74.19,14.5,21.0,,,61.75,,11.13,35.17,26.46,27.44,59.06,125.5,,43.5,42.44,29.56,31.72,48.0,44.13,32.63,28.75,25.94,49.13,47.19,98.0,,57.88,,54.44,40.12,36.0,69.75,,,12.55,5.938,32.0,22.75,16.38,20.56,34.56,36.19,7.38,19.06,,38.88,,22.75,44.52,27.5,,3.875,58.75,39.42,60.13,23.74,,43.13,20.0,43.06,51.06,,82.88,34.94,20.69,50.0,30.06,49.88,,26.0,49.81,,,12.94,37.7,,32.76,,68.06,41.55,,4.86,,49.5,37.5
2001-02-13,,19.12,37.19,47.51,59.98,35.38,11.44,36.81,41.25,72.31,13.75,21.62,,,59.62,,10.88,34.49,27.13,26.75,59.25,82.13,,43.38,42.94,28.5,32.26,46.13,42.5,32.31,29.31,27.88,49.63,47.44,99.66,,58.25,,53.13,41.4,36.49,67.63,,,12.4,6.125,32.5,23.88,16.25,20.0,32.44,34.5,7.11,19.11,,37.13,,21.75,44.75,26.56,,3.75,58.19,41.5,58.0,23.58,,44.44,19.25,41.25,49.5,,80.5,33.5,20.75,48.63,29.94,50.75,,25.87,49.75,,,12.69,37.41,,30.73,,60.88,42.0,,5.02,,47.75,37.75
2001-02-14,,19.5,40.06,50.96,59.13,35.69,11.63,35.75,46.81,72.0,14.44,22.37,,,60.44,,10.88,35.5,27.05,27.63,60.0,90.19,,42.31,43.69,29.38,31.25,46.56,40.25,32.63,28.81,28.58,51.13,50.19,98.13,,59.0,,55.56,41.38,36.58,66.56,,,12.82,6.25,33.44,23.56,16.38,18.06,34.13,35.69,8.0,18.69,,43.13,,24.38,44.46,28.88,,3.75,58.38,46.5,61.13,23.35,,47.69,20.13,43.31,49.94,,83.38,34.69,20.69,47.88,28.75,50.34,,26.87,50.31,,,12.19,38.75,,31.09,,62.94,42.4,,4.9,,51.25,38.13
2001-02-15,,20.06,38.94,51.51,58.92,36.06,12.81,36.38,49.44,72.06,14.5,22.94,,,59.5,,10.75,37.5,28.37,27.06,60.13,95.06,,42.25,42.81,30.81,31.49,46.13,41.81,33.0,28.5,27.63,49.75,50.5,92.63,,61.19,,55.69,41.5,36.51,66.63,,,13.0,6.281,33.25,24.0,16.0,18.5,35.81,36.56,8.12,17.88,,44.31,,26.13,44.36,31.06,,3.813,58.81,44.6,63.0,23.51,,56.44,20.06,42.75,50.88,,85.63,34.0,20.69,49.25,29.63,51.88,,25.31,51.25,,,12.19,40.66,,31.21,,63.31,42.6,,5.23,,54.0,38.63
2001-02-16,,19.0,36.31,49.5,58.93,36.0,13.06,33.94,48.23,71.25,13.69,22.25,,,55.0,,10.25,35.9,27.58,26.44,58.81,90.19,,42.06,42.69,28.25,31.79,44.8,41.13,32.13,26.8,27.25,48.75,48.75,91.75,,60.0,,55.75,40.0,36.3,69.75,,,12.6,6.25,33.81,23.69,16.81,17.5,34.38,34.81,8.0,17.94,,41.69,,25.31,43.61,28.78,,3.875,57.31,42.55,60.19,23.21,,59.5,19.5,41.63,49.19,,80.63,33.81,21.19,48.94,29.13,52.52,,22.69,50.69,,,11.88,36.6,,28.59,,58.81,43.69,,4.98,,47.88,38.0
